Verilator Statistics Report

Information:
  Verilator 5.003 devel rev v5.002-127-gea1b141d1
  Arguments: --cc --exe --build --trace --debug add_datastream_1_sim.cpp add_datastream_1.v
  Build jobs: 1

Global Statistics:

  Assertions, assert immediate statements                                                             0
  Assertions, assert non-immediate statements                                                         0
  Assertions, cover statements                                                                        0
  Assertions, full/parallel case                                                                      0
  ConstPool, Constants emitted                                                                        0
  ConstPool, Tables emitted                                                                           0
  Optimizations, Cases complex                                                                        0
  Optimizations, Cases parallelized                                                                   0
  Optimizations, Clocker decomposed vectors                                                           0
  Optimizations, Clocker seen vectors                                                                 0
  Optimizations, Combined CFuncs                                                                      1
  Optimizations, Const bit op reduction                                                               0
  Optimizations, Const bit op reduction                                                               0
  Node pairs, AND_VARREF                                                       4
  Node pairs, ARRAYSEL_CONST                                        1          1
  Node pairs, ARRAYSEL_VARREF                                       1          1
  Node pairs, ASSIGNW_ADD                     1          1          2
  Node pairs, ASSIGNW_AND                                                      1          1
  Node pairs, ASSIGNW_VARREF                  1          1          2          1          1
  Node pairs, ASSIGN_ADD                                            4          4          3
  Node pairs, ASSIGN_ARRAYSEL                                       1          1
  Node pairs, ASSIGN_CMETHODHARD                                    2          2          1
  Node pairs, ASSIGN_CONST                                         17         17         12
  Node pairs, ASSIGN_EQ                                             2          2          1
  Node pairs, ASSIGN_VARREF                                        20         20         15
  Node pairs, BASICDTYPE_RANGE                3
  Node pairs, CCAST_CMETHODHARD                                                8          5
  Node pairs, CCAST_CONST                                                      4          3
  Node pairs, CCAST_VARREF                                                     2          2
  Node pairs, CFUNC_ASSIGN                                          4          4          2
  Node pairs, CFUNC_ASSIGNW                                         2          1          1
  Node pairs, CFUNC_CRESET                                                     1
  Node pairs, CFUNC_CSTMT                                1          7          7
  Node pairs, CFUNC_IF                                              7          7          6
  Node pairs, CFUNC_STMTEXPR                             1          3          3
  Node pairs, CFUNC_TEXT                                            1          1
  Node pairs, CFUNC_TEXTBLOCK                                       1          1          1
  Node pairs, CFUNC_TRACEDECL                            1          1          1
  Node pairs, CFUNC_TRACEINC                                        1          2
  Node pairs, CFUNC_VAR                                                        2          1
  Node pairs, CMETHODHARD_CONST                                    10         10          4
  Node pairs, CMETHODHARD_VARREF                                   31         31         17
  Node pairs, CONSTPOOL_MODULE                1          1          1          1
  Node pairs, CRESET_VARREF                                                    7
  Node pairs, CSTMT_TEXT                                 1         11         13
  Node pairs, EQ_CONST                                              2          2          1
  Node pairs, EQ_VARREF                                             2          2          1
  Node pairs, IF_AND                                                          12          5
  Node pairs, IF_ASSIGN                                             4          4          3
  Node pairs, IF_CMETHODHARD                                       16         16          6
  Node pairs, IF_CONST                                              2
  Node pairs, IF_CSTMT                                                         2
  Node pairs, IF_LT                                                 8          8          3
  Node pairs, IF_NOT                                                8
  Node pairs, IF_STMTEXPR                                           2          2          1
  Node pairs, IF_TEXT                                               6          6          7
  Node pairs, IF_TEXTBLOCK                                          4          4          3
  Node pairs, IF_TRACEINC                                           1
  Node pairs, LT_CONST                                              8          8          3
  Node pairs, LT_VARREF                                             8          8          3
  Node pairs, MODULE_SCOPE                    1          1          1          1
  Node pairs, MODULE_VAR                      1          1          1          1
  Node pairs, NETLIST_CFILE                                                    1
  Node pairs, NETLIST_MODULE                  1          1          1          1
  Node pairs, NETLIST_TYPETABLE               1          1          1          1
  Node pairs, NOT_CCAST                                                        8          5
  Node pairs, NOT_CMETHODHARD                                       8
  Node pairs, RANGE_CONST                     6                     2          2
  Node pairs, SCOPE_ACTIVE                               1
  Node pairs, SCOPE_CFUNC                                           1
  Node pairs, SCOPE_VARSCOPE                             1          1
  Node pairs, SENTREE_SENITEM                            1
  Node pairs, STMTEXPR_CCALL                             1         19         19         11
  Node pairs, STMTEXPR_CMETHODHARD                                  3          3          3
  Node pairs, TEXTBLOCK_TEXT                                        7          7          5
  Node pairs, TOPSCOPE_SCOPE                             1          1          1
  Node pairs, TOPSCOPE_SENTREE                           1
  Node pairs, TRACEDECL_VARREF                           6
  Node pairs, TRACEINC_VARREF                                       6          6
  Node pairs, TYPETABLE_BASICDTYPE            1          1          1          1
  Node pairs, UNPACKARRAYDTYPE_RANGE                                1          1
  Node pairs, VAR_BASICDTYPE                  3
  Node pairs, WHILE_ASSIGN                                          4          4          3
  Node pairs, WHILE_VARREF                                          4          4          3

  Var space, non-arrays, bytes                0          3         28         28          7
  Var space, scoped, bytes                               3         28

  Vars, clock attribute                       0          0          0          0          0
  Vars, unpacked arrayed                      0          0          1          1          0
  Vars, width     0                                                 3          3          1
  Vars, width     1                                      3         10         10          2
  Vars, width    32                                                 4          4          1
